dec ra err type kind energy time
-24.14255 59.20022 0 null gamma_ray 699.9687 1498091546.6639
-51.11875 100.205 0 null gamma_ray 848.3606 1498091547.1906
7.254983 347.748 0 null gamma_ray 150.8385 1498091547.4716
-44.9844 136.9233 0 null gamma_ray 407.0714 1498091547.5331
-40.94406 80.73331 0 null gamma_ray 502.246 1498091547.6768
-41.26992 71.52392 0 null gamma_ray 232.6703 1498091547.9898
-51.38368 137.0014 0 null gamma_ray 348.0923 1498091547.9942
-48.61665 139.2172 0 null gamma_ray 608.2682 1498091548.1277
-34.25326 352.6168 0 null gamma_ray 40.85163 1498091548.1375
-54.11005 98.07443 0 null gamma_ray 71.37237 1498091548.2613
-18.16439 57.1804 0 null gamma_ray 443.2427 1498091548.4894
-11.6771 276.9104 0 null gamma_ray 1487.39 1498091549.0204
-53.27744 108.4731 0 null gamma_ray 257.2411 1498091550.1386
-47.03532 86.29048 0 null gamma_ray 99.37405 1498091551.1594
-38.88313 73.8659 0 null gamma_ray 330.4497 1498091551.7639
-49.52306 108.2982 0 null gamma_ray 75.33662 1498091551.8531
-52.18311 128.1021 0 null gamma_ray 1357.904 1498091551.9503
-50.47655 144.3265 0 null gamma_ray 937.2346 1498091552.5322
-36.86783 70.60915 0 null gamma_ray 518.2301 1498091552.5752
-33.36229 76.4347 0 null gamma_ray 200.6051 1498091553.0317
-29.00169 288.8719 0 null gamma_ray 34.27933 1498091553.5418
-50.30089 99.38589 0 null gamma_ray 1163.732 1498091553.5914
-23.93496 58.54294 0 null gamma_ray 2343.795 1498091554.2436
-29.99224 254.292 0 null gamma_ray 835.0324 1498091554.3041
-33.40693 70.32034 0 null gamma_ray 510.8062 1498091554.327
-52.0197 98.50334 0 null gamma_ray 1414.857 1498091554.3296
-48.32134 87.24524 0 null gamma_ray 461.8264 1498091554.6349
-46.79988 138.9112 0 null gamma_ray 170.2089 1498091554.9095
-4.467611 332.0629 0 null gamma_ray 170.5485 1498091554.9843
-46.1967 313.7313 0 null gamma_ray 201.6268 1498091555.1218
-49.26571 125.7868 0 null gamma_ray 228.8032 1498091555.1556
-51.7277 89.37466 0 null gamma_ray 153.454 1498091555.4436
-47.21437 102.9261 0 null gamma_ray 187.3369 1498091555.4999
-49.26379 89.36954 0 null gamma_ray 339.3563 1498091555.5386
-60.02989 74.76454 0 null gamma_ray 1386.683 1498091555.6644
-49.06255 88.20706 0 null gamma_ray 280.8817 1498091555.6964
-50.87032 149.1677 0 null gamma_ray 355.3333 1498091555.9009
-35.26294 69.90505 0 null gamma_ray 287.603 1498091556.1463
-39.13674 78.29598 0 null gamma_ray 116.9315 1498091556.2179
-39.09375 74.26566 0 null gamma_ray 1246.262 1498091556.2905
-85.06885 256.2731 0 null gamma_ray 111.3275 1498091556.7544
-53.25464 122.6898 0 null gamma_ray 643.5938 1498091556.9071
-42.27751 71.92803 0 null gamma_ray 174.5869 1498091557.3117
-49.30142 103.4661 0 null gamma_ray 140.0637 1498091557.6977
-27.28601 63.20634 0 null gamma_ray 467.4026 1498091557.7628
-39.30393 19.61525 0 null gamma_ray 56.1964 1498091558.597
-50.00124 125.5309 0 null gamma_ray 27.64228 1498091558.7483
-38.72996 85.21449 0 null gamma_ray 190.401 1498091558.9565
-36.56927 260.4981 0 null gamma_ray 150.625 1498091559.4376
-37.02199 80.54758 0 null gamma_ray 1288.665 1498091559.5375
-46.08141 86.58145 0 null gamma_ray 1277.072 1498091559.5604
-75.59724 36.70061 0 null gamma_ray 1000.434 1498091559.7822
-48.01357 82.89022 0 null gamma_ray 507.8255 1498091559.979
-51.16871 120.4939 0 null gamma_ray 109.0759 1498091559.9865
-46.87033 78.35573 0 null gamma_ray 272.9934 1498091560.4478
-47.27822 125.5657 0 null gamma_ray 118.141 1498091560.5103
-57.38388 132.6155 0 null gamma_ray 189.3459 1498091560.6958
-53.03622 109.2106 0 null gamma_ray 1211.308 1498091560.7791
-47.44717 86.20533 0 null gamma_ray 761.0662 1498091561.4496
-19.60202 60.31577 0 null gamma_ray 288.3221 1498091561.5199
-40.57078 83.45267 0 null gamma_ray 194.121 1498091562.0713
-38.02459 87.58546 0 null gamma_ray 157.0369 1498091562.4714
-52.81837 109.6826 0 null gamma_ray 876.942 1498091562.7622
-50.84275 135.5411 0 null gamma_ray 98.77452 1498091563.146
-68.5004 137.4596 0 null gamma_ray 45.08546 1498091563.1697
-68.67918 202.6328 0 null gamma_ray 117.4084 1498091563.1977
-45.90868 85.08566 0 null gamma_ray 289.7069 1498091563.3313
-53.27034 123.1819 0 null gamma_ray 1412.001 1498091564.0274
-33.7584 41.48961 0 null gamma_ray 74.45844 1498091564.4781
-32.90568 63.03572 0 null gamma_ray 228.0383 1498091564.5492
-35.943 259.1743 0 null gamma_ray 653.1438 1498091564.6526
-6.421988 298.748 0 null gamma_ray 445.7909 1498091564.8389
-3.835 2.209668 0 null gamma_ray 1177.228 1498091564.8783
-43.77711 78.69076 0 null gamma_ray 1205.806 1498091564.9479
-39.85524 111.9047 0 null gamma_ray 64.91113 1498091565.3412
-32.50335 76.75602 0 null gamma_ray 517.2103 1498091565.4303
-25.5046 348.3007 0 null gamma_ray 57.47875 1498091565.5194
-44.72602 219.1669 0 null gamma_ray 359.8987 1498091565.5753
-70.14143 237.8851 0 null gamma_ray 68.19936 1498091565.6535
-53.83457 131.7163 0 null gamma_ray 31341.38 1498091566.1664
-51.84835 114.9093 0 null gamma_ray 920.3187 1498091566.405
-49.6529 107.1851 0 null gamma_ray 145.2834 1498091566.972
-54.56104 92.59765 0 null gamma_ray 102.2121 1498091567.5842
-61.61312 111.0301 0 null gamma_ray 115.7412 1498091567.7208
-53.92162 232.8595 0 null gamma_ray 3689.217 1498091567.8241
-43.44792 75.22018 0 null gamma_ray 112.4097 1498091567.8354
-52.51054 107.6203 0 null gamma_ray 778.1925 1498091568.071
